Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
100483,Tata Communications Limited,TATACOMM#,TATA COMM,Active,A ,10.00,INE151A01013,Equity,,,,,
100490,Bajaj Holdings & Investment Limited,BAJAJHLDNG#,BAJ HOLD INV,Active,A ,10.00,INE118A01012,Equity,,,,,
100493,Bharat Forge Ltd,BHARATFORG#,Bharat Forge Ltd,Active,A ,2.00,INE465A01025,Equity,,,,,
100495,Escorts Kubota Limited,ESCORTS#,Escorts Kubota Limited,Active,A ,10.00,INE042A01014,Equity,,,,,
100510,Larsen & Toubro Limited,LT#,LARSEN & TOU,Active,A ,2.00,INE018A01030,Equity,,,,,
100520,Mahindra & Mahindra Ltd.,M&M#,Mahindra & Mahindra Ltd.,Active,A ,5.00,INE101A01026,Equity,,,,,
100530,Bosch Ltd,BOSCHLTD#,BOSCH LTD,Active,A ,10.00,INE323A01026,Equity,,,,,
100547,Bharat Petroleum Corpn. Ltd.,BPCL#,BHARAT PETRO,Active,A ,10.00,INE029A01011,Equity,,,,,
100550,Siemens Ltd.,SIEMENS#,"Siemens Ltd.,",Active,A ,2.00,INE003A01024,Equity,,,,,
100570,TATA MOTORS PASSENGER VEHICLES LIMITED,TMPV#,TATA MOTORS PASSENGER VEHICLES LIMITED,Active,A ,2.00,INE155A01022,Equity,,,,,
100575,Voltas Ltd.,VOLTAS#,"Voltas Ltd.,",Active,A ,1.00,INE226A01021,Equity,,,,,
100620,Great Eastern Shipping Co. Ltd.,GESHIP#,"Great Eastern Shipping Co. Ltd.,",Active,A ,10.00,INE017A01032,Equity,,,,,
100645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT#,DEEPAK FERT,Active,A ,10.00,INE501A01019,Equity,,,,,
100655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH#,GARWARE HI-TECH FILMS LIMITED,Active,A ,10.00,INE291A01017,Equity,,,,,
100660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO#,GlaxoSmithkline Pharmaceuticals Ltd.,Active,A ,10.00,INE159A01016,Equity,,,,,
100674,Sanofi India Ltd,SANOFI#,Sanofi India Ltd,Active,A ,10.00,INE058A01010,Equity,,,,,
100680,Pfizer Ltd.,PFIZER#,PFIZER LTD.,Active,A ,10.00,INE182A01018,Equity,,,,,
100696,Hindustan Unilever Ltd.,HINDUNILVR#,"Hindustan Unilever Ltd.,",Active,A ,1.00,INE030A01027,Equity,,,,,
100710,JSW Dulux Limited,JSWDULUX#,JSW Dulux Limited,Active,A ,10.00,INE133A01011,Equity,,,,,
100770,Tata Chemicals Ltd,TATACHEM#,TATA CHEMICA,Active,A ,10.00,INE092A01019,Equity,,,,,
100790,Nestle India Ltd.,NESTLEIND#,NESTLE LTD,Active,A ,1.00,INE239A01024,Equity,,,,,
100800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM#,TATA CONSUMER PRODUCTS LIMITED,Active,A ,1.00,INE192A01025,Equity,,,,,
100820,Asian Paints Ltd.,ASIANPAINT#,Asian Paints Ltd.,Active,A ,1.00,INE021A01026,Equity,,,,,
100825,Britannia Industries Ltd.,BRITANNIA#,"Britannia Industries Ltd.,",Active,A ,1.00,INE216A01030,Equity,,,,,
100830,Colgate-Palmolive (India) Ltd.,COLPAL#,"Colgate-Palmolive (India) Ltd.,",Active,A ,1.00,INE259A01022,Equity,,,,,
100840,EIH Ltd,EIHOTEL#,EIH Ltd,Active,A ,2.00,INE230A01023,Equity,,,,,
100850,THE INDIAN HOTELS COMPANY LTD,INDHOTEL#,Indian Hotels Co. Ltd,Active,A ,1.00,INE053A01029,Equity,,,,,
100870,Castrol India Ltd,CASTROLIND#,Castrol India Ltd,Active,A ,5.00,INE172A01027,Equity,,,,,
100875,ITC Ltd,ITC#,ITC Ltd,Active,A ,1.00,INE154A01025,Equity,,,,,
100877,Apollo Tyres Ltd,APOLLOTYRE#,Apollo Tyres Ltd,Active,A ,1.00,INE438A01022,Equity,,,,,
100878,Ceat Ltd.,CEATLTD#,"Ceat Ltd.,",Active,A ,10.00,INE482A01020,Equity,,,,,
100940,Finolex Industries Ltd.,FINPIPE#,FINOLEX IND,Active,A ,2.00,INE183A01024,Equity,,,,,
